,Name,Distance,Categories,Latitude,Longitude,Id,Neighborhood,Likes
0,Grand Daddy Hotel,289,Hotel,-33.92111949925801,18.42066498034945,4b83ea28f964a520771631e3,City Bowl,75
1,Taj Cape Town,160,Hotel,-33.92447827742117,18.41952301924581,4d26a54b068e8cfac9efb24c,City Bowl,84
2,Cape Heritage Hotel Cape Town,404,Hotel,-33.920829,18.418326,4bc8e896762beee11eae3d38,City Bowl,16
3,Stayeasy,470,Hotel,-33.91953,18.4202,5997495e31ac6c1f3bc8ba3c,City Bowl,8
4,African Pride 15 On Orange Hotel,836,Hotel,-33.928587,18.414108,4f1018fc00392d01a694e577,City Bowl,41
5,Southern Sun Cullinan,977,Hotel,-33.915510147083936,18.42479695191693,4b77a94ff964a520f8a52ee3,City Bowl,62
6,Atlantic Point Backpackers Lodge,288,Hotel,-33.90948577917452,18.411593014769963,4d320925c75a6ea8803e0aae,Atlantic Seaboard,15
7,Brenwin Guest House Green Point (South Africa),255,Hotel,-33.910849030902504,18.41101235850715,4be19ace8dd062b5ab693e3c,Atlantic Seaboard,8
8,Cape Royale Hotel,371,Hotel,-33.90880711112639,18.412311777962515,4bae1a28f964a5205a843be3,Atlantic Seaboard,46
9,Sugar Hotel,639,Hotel,-33.91137198582969,18.41518771707617,4bac5f2ff964a52047f23ae3,Atlantic Seaboard,8
10,Villa Zest,513,Hotel,-33.91065240884474,18.413980916920085,4cc30fdf82388cfa6d016535,Atlantic Seaboard,4
11,V&A Marina Apartments,820,Hotel,-33.910357633603894,18.4173671207318,4cc196d8668db60c18a814b4,Atlantic Seaboard,24
12,Commodore Hotel,907,Hotel,-33.90628686367284,18.41732509731191,4c33ec27213c2d7f8ecf375d,Atlantic Seaboard,60
13,Romney Park All Suite Hotel & Spa,538,Hotel,-33.909917948355385,18.402679378200286,4b4f857af964a520e60927e3,Atlantic Seaboard,8
14,Protea Hotel by Marriott Cape Town Victoria Junction,870,Hotel,-33.912731821146664,18.417278214965336,5b48591cc9a51700396a6f6a,Atlantic Seaboard,1
15,Protea Breakwater Lodge,690,Hotel,-33.9078499,18.415570300000002,4bcf6d830ffdce72d077b2c0,Atlantic Seaboard,39
16,Primi Oxford Hotel,532,Hotel,-33.910797678362385,18.41416199474988,4fff64fee4b0bc634560cc0a,Atlantic Seaboard,5
17,The Portswood Hotel,966,Hotel,-33.90600232934396,18.41786970331059,4b841e78f964a520fe2131e3,Atlantic Seaboard,13
18,Protea Hotel Victoria Junction,873,Hotel,-33.9129568203657,18.417193746170238,4c55ca9d30f92d7fa38bbbbc,Atlantic Seaboard,47
19,Kingslyn Boutique Guesthouse,593,Hotel,-33.908924102783196,18.40218162536621,4ed242b6b634dd2993b81466,Atlantic Seaboard,5
20,Protea Hotel Cape Castle,644,Hotel,-33.91148046886514,18.41520547676504,4e3a8d5c1495c19cfbc44cd7,Atlantic Seaboard,6
21,Antrim Villa,648,Hotel,-33.908784963679516,18.40160301790957,4d60af66b6b9a1cd50fe7e51,Atlantic Seaboard,2
22,Head South Lodge,788,Hotel,-33.90837492862212,18.400157020207818,4bce2588c564ef3b87c0edf0,Atlantic Seaboard,3
23,Grand West Hotel,733,Hotel,-33.91245982452779,18.54537439514585,4cea99ce948f224bc05efc5d,Goodwood,1
24,Simon's Town Quayside Hotel,29,Hotel,-34.1931494,18.4329507,4f07ed76e4b05dd3a2a02973,Simons Town,1
25,Chapmans Peak Hotel,705,Hotel,-34.046943236781225,18.361717746156163,4b656e3af964a5205ef02ae3,Hout Bay,58
26,Atlantic Point Backpackers Lodge,780,Hotel,-33.90948577917452,18.411593014769963,4d320925c75a6ea8803e0aae,Green Point,15
27,Cape Royale Hotel,774,Hotel,-33.90880711112639,18.412311777962515,4bae1a28f964a5205a843be3,Green Point,46
28,Radisson Blu Hotel,762,Hotel,-33.89961457899888,18.412039275207466,4be30a5bf07b0f47c6ebf643,Green Point,118
29,Brenwin Guest House Green Point (South Africa),869,Hotel,-33.910849030902504,18.41101235850715,4be19ace8dd062b5ab693e3c,Green Point,8
30,Romney Park All Suite Hotel & Spa,699,Hotel,-33.909917948355385,18.402679378200286,4b4f857af964a520e60927e3,Green Point,8
31,La Splendida,567,Hotel,-33.90149201701112,18.400811437520787,4d829d0699b78cfa1d0e8f1f,Green Point,5
32,Protea Breakwater Lodge,973,Hotel,-33.9078499,18.415570300000002,4bcf6d830ffdce72d077b2c0,Green Point,39
33,Kingslyn Boutique Guesthouse,626,Hotel,-33.908924102783196,18.40218162536621,4ed242b6b634dd2993b81466,Green Point,5
34,Antrim Villa,645,Hotel,-33.908784963679516,18.40160301790957,4d60af66b6b9a1cd50fe7e51,Green Point,2
35,Head South Lodge,705,Hotel,-33.90837492862212,18.400157020207818,4bce2588c564ef3b87c0edf0,Green Point,3
